Date,Open,High,Low,Close,Volume,Market Cap
29-Aug-19,67.36,67.43,63.63,64.10,3092332444.00,4047272938.00
28-Aug-19,72.90,73.05,66.54,67.43,2883041616.00,4256892976.00
27-Aug-19,73.93,73.93,72.37,72.84,2489689274.00,4597966230.00
26-Aug-19,72.32,74.99,72.12,73.86,3046136697.00,4661893373.00
25-Aug-19,73.47,74.73,71.17,72.31,2227400267.00,4563612040.00
24-Aug-19,75.41,75.69,72.32,73.46,2191973575.00,4636016950.00
23-Aug-19,73.58,75.69,72.87,75.40,2496513401.00,4757819433.00
22-Aug-19,72.95,74.57,71.31,73.60,2908864703.00,4643456772.00
21-Aug-19,75.24,75.47,70.58,72.96,2878567011.00,4602987629.00
20-Aug-19,77.30,77.44,73.94,75.20,2430165429.00,4743207580.00
19-Aug-19,76.34,78.51,75.88,77.26,2346796021.00,4873084523.00
18-Aug-19,72.84,77.56,71.67,76.27,2743241606.00,4809876077.00
17-Aug-19,74.91,75.33,72.27,72.80,2482385549.00,4590467351.00
16-Aug-19,76.32,77.17,73.07,74.92,3016089036.00,4723824771.00
15-Aug-19,76.13,78.51,73.00,76.39,3654075558.00,4815969361.00
14-Aug-19,84.42,85.55,75.96,76.06,3093090406.00,4794992635.00
13-Aug-19,85.75,86.32,83.35,84.41,2681787838.00,5320229477.00
12-Aug-19,89.70,89.71,85.63,85.75,2716187719.00,5404272824.00
11-Aug-19,85.45,91.03,85.45,89.75,3025787942.00,5655924170.00
10-Aug-19,84.39,87.11,83.14,85.42,3088060147.00,5382272086.00
9-Aug-19,90.09,90.36,83.49,84.44,3003278177.00,5319984195.00
8-Aug-19,90.91,91.72,88.50,90.03,3034717882.00,5671748769.00
7-Aug-19,93.04,93.74,88.54,90.91,3105989436.00,5726708990.00
6-Aug-19,96.89,98.98,91.66,93.07,3245339849.00,5861986121.00
5-Aug-19,93.09,105.59,93.09,96.83,4134352823.00,6098470159.00
4-Aug-19,94.60,95.39,91.45,93.20,2427608117.00,5868857449.00
3-Aug-19,95.02,96.84,94.16,94.58,2512959054.00,5954227577.00
2-Aug-19,99.20,99.20,93.54,94.94,2882784454.00,5975497672.00
1-Aug-19,98.57,100.26,95.98,99.18,2953184689.00,6240801535.00
31-Jul-19,90.47,99.48,90.33,98.51,3051471469.00,6197337878.00
30-Jul-19,90.47,92.19,89.02,90.57,2302521844.00,5696275523.00
29-Jul-19,89.77,91.39,88.57,90.43,2457824867.00,5686062706.00
28-Jul-19,88.89,90.41,85.35,89.77,2460180908.00,5643415873.00
27-Jul-19,94.32,95.65,87.70,88.89,2626517608.00,5586678799.00
26-Jul-19,93.41,94.55,90.75,94.31,2260844511.00,5925662076.00
25-Jul-19,94.36,95.85,92.47,93.45,2690273677.00,5870441888.00
24-Jul-19,90.46,96.42,88.15,94.31,3247150970.00,5923434071.00
23-Jul-19,95.41,95.48,89.44,90.62,2700924026.00,5690513769.00
22-Jul-19,99.56,100.25,92.30,95.42,2693989249.00,5990269582.00
21-Jul-19,100.51,101.47,96.95,99.63,2829054215.00,6253213998.00
20-Jul-19,98.46,104.61,97.71,100.61,3771308934.00,6313476233.00
19-Jul-19,101.08,101.18,95.72,98.40,3983990085.00,6173653347.00
18-Jul-19,89.69,103.15,87.45,101.09,4890332056.00,6340559063.00
17-Jul-19,79.41,93.05,77.50,89.81,4616360556.00,5632042532.00
16-Jul-19,90.90,92.06,77.50,79.50,3703346636.00,4984318767.00
15-Jul-19,89.86,92.63,85.68,90.92,3570361793.00,5699307530.00
14-Jul-19,101.11,101.68,88.81,89.77,3717531246.00,5625773339.00
13-Jul-19,105.29,105.59,98.01,101.02,3353538171.00,6329505235.00
12-Jul-19,102.83,106.36,101.21,105.30,3611846208.00,6595612500.00
11-Jul-19,108.57,108.57,97.28,102.64,4633853162.00,6427725958.00
10-Jul-19,119.50,120.10,103.82,108.50,4699511838.00,6792744022.00
9-Jul-19,123.25,124.17,118.23,119.43,3785641025.00,7475393728.00
8-Jul-19,120.28,125.08,118.60,123.29,3803750017.00,7714781783.00
7-Jul-19,118.03,120.33,117.64,120.32,3348662401.00,7527688155.00
6-Jul-19,118.38,121.29,117.33,117.82,3484378308.00,7369730846.00
5-Jul-19,119.84,120.65,117.15,118.35,4110868217.00,7401137488.00
4-Jul-19,122.50,126.67,119.05,119.98,4564200301.00,7501164315.00
3-Jul-19,119.33,123.74,118.37,122.56,4529682890.00,7661188686.00
2-Jul-19,122.56,123.29,112.65,119.24,4761878443.00,7451762463.00
1-Jul-19,122.11,126.02,114.22,122.58,5034162436.00,7658690466.00
30-Jun-19,133.72,136.26,120.44,122.25,5525273220.00,7636046758.00
29-Jun-19,120.16,135.74,116.22,133.66,5745785825.00,8347117542.00
28-Jun-19,114.41,122.02,113.47,120.15,4683311766.00,7501601230.00
27-Jun-19,131.22,132.04,110.67,114.40,5588611122.00,7141234400.00
26-Jun-19,136.48,138.32,128.94,131.27,5565887285.00,8191677323.00
25-Jun-19,135.58,138.12,130.89,136.49,4411092400.00,8515726713.00
24-Jun-19,136.92,138.69,132.83,135.53,3907725105.00,8454028780.00
23-Jun-19,141.95,142.56,136.32,136.88,3998980168.00,8536077179.00
